Symbol,Count
SIC/ESGE ~,3574
SIC/TMV ~,2486
SIC/IEUR ~,2803
SIC/VDC ~,3187
SIC/TTD ~,7328
SIC/VIS ~,2949
SIC/VCSH ~,7924
SIC/GNW ~,3827
SIC/DIG ~,6771
SIC/APA ~,11236
SIC/IQV ~,2417
SIC/NET ~,3513
SIC/BBCA ~,3671
SIC/TMUS ~,2838
SIC/IEI ~,5110
SIC/SHEL1 N,8454
SIC/MCD ~,5895
SIC/IDNA ~,2579
SIC/LYFT ~,5706
SIC/BX ~,7790
SIC/FLOT ~,5591
SIC/PICK ~,1946
SIC/TEVA N,11530
SIC/DNOW ~,5875
SIC/SBS N,4456
SIC/MSCI ~,5622
SIC/IVE ~,7694
SIC/ZTS ~,2913
SIC/ESGD ~,2540
SIC/GMF ~,16210
SIC/FDL ~,3064
SIC/SE N,4127
SIC/IEFA ~,2940
SIC/IWO ~,3559
SIC/IHAK ~,1650
SIC/SCCO ~,3090
SIC/XOP ~,11666
SIC/PAAS N,5337
SIC/PINS ~,8948
SIC/HYG ~,4811
SIC/XME ~,10260
SIC/BSV ~,1987
SIC/IDXX ~,2757
SIC/ASHR ~,6587
SIC/DOG ~,2616
SIC/IYC ~,3111
SIC/TSCO1 ~,2523
SIC/FLJP ~,5541
SIC/PRF ~,3765
SIC/TMO ~,6673
SIC/SNPS ~,3143
SIC/YUM ~,2924
SIC/FSLR ~,9154
SIC/TRN ~,5172
SIC/NOWW ~,3176
SIC/LRCX ~,7369
SIC/DVY ~,6940
SIC/IEF ~,5339
SIC/IJH ~,6250
SIC/ACN N,5913
SIC/MGA N,5241
SIC/RH ~,3661
SIC/EFIV ~,4632
SIC/VOX ~,3799
SIC/URTH ~,3325
SIC/FVD ~,3639
SIC/DPST ~,5047
SIC/GAP1 ~,5176
SIC/AGG ~,3151
SIC/DQ N,8194
SIC/DGRW ~,3438
SIC/IVEG ~,2164
SIC/IGSB ~,1996
SIC/NXPI N,3678
SIC/OPK ~,6952
SIC/BKNG ~,8881
SIC/DIA ~,9807
SIC/NOC ~,3473
SIC/RUN ~,26986
SIC/SYK ~,2762
SIC/IGV ~,1816
SIC/AI1 ~,6507
SIC/EWZ ~,15256
SIC/IT25 N,52473
SIC/ID29 N,34439
SIC/D28A N,40864
SIC/ID25 N,34495
SIC/ID30 N,34513
SIC/D26A N,34450
SIC/IT27 N,34623
SIC/IT29 N,34479
SIC/CBU0 N,40654
SIC/IJPA N,34315
SIC/EWSP N,24111
SIC/SDIA N,48044
NAC/FORION 20,2
SIC/SDHA N,29945
SIC/FLOA N,27039
SIC/JPEA N,31480
SIC/ADS N,2
NAC/QVGMEX 18,4973
SIC/ID25MX N,22691
SIC/ID26MX N,22804
SIC/ID27MX N,22396
SIC/ID28MX N,22849
SIC/IT25MX N,22656
SIC/I37MX N,22960
SIC/VMSTX N,195510
SIC/VMCAX N,21936
SIC/MB3M N,22759
SIC/ID29MX N,22257
SIC/ID30MX N,22396
SIC/IT27MX N,22344
SIC/IT29MX N,22897
SIC/AIUU N,25749
SIC/FRMXNX N,276044
SIC/IUCD N,176
SIC/CEUX N,160
SIC/C500 N,78
SIC/CPXJ N,166
SIC/AGED N,160
SIC/4BRZ N,174
SIC/SUJP N,168
SIC/IJPAX N,162
SIC/SUAS N,171
SIC/USPA N,83
SIC/DGRA N,170
SIC/SXLK N,474
SIC/IUQA N,169
SIC/IUSA N,168
SIC/ISAC N,196
SIC/IWDA N,170
SIC/SXLC N,434
SIC/SXLP N,540
SIC/UCAP N,166
SIC/LOCK N,76
SIC/SPEQ N,87
SIC/SXLE N,447
SIC/SXLI N,705
SIC/JCCT N,166
SIC/IUHC N,183
SIC/SXLV N,586
SIC/SPY4 N,670
SIC/HEAL N,238
SIC/EUNK N,168
SIC/DPYA N,164
SIC/SUSM N,188
SIC/SXR7 N,186
SIC/SXRT N,212
SIC/IUSK N,164
SIC/EXS1 N,166
SIC/IMEAX N,156
SIC/VHYA N,32541
SIC/VWCG N,33774
SIC/VDCA N,33004
SIC/VDPA N,33526
SIC/VDE ~,14837
SIC/AZTD ~,1878
SIC/IUCS N,1
SIC/HEIA N,1
SIC/MBLY ~,2
SIC/APH ~,48
SIC/ILIT ~,2
SIC/RACE N,1
SIC/SNSR ~,3
SIC/ONON N,3
